item_code,item_name,tax_category,tax_detail,note
3000,民営家賃,exempt,,Tax-exempt by law
3016,公営家賃,exempt,,
3017,都市再生機構・公社家賃,exempt,,
3030,持家の帰属家賃,exempt,,
3180,火災・地震保険料,exempt,,
6121,補聴器,exempt,,Healthcare
6200,診療代,exempt,,
6210,出産入院料,exempt,,
7351,自動車免許手数料,exempt,,Transport/Communication
7370,自動車保険料（自賠責）,exempt,,
7390,自動車保険料（任意）,exempt,,
8010,中学校授業料（私立）,exempt,,Education
8020,高等学校授業料（公立）,exempt,,
8030,高等学校授業料（私立）,exempt,,
8040,大学授業料（国立）,exempt,,
8060,大学授業料（私立）,exempt,,
8070,短期大学授業料（私立）,exempt,,
8080,幼稚園保育料（公立）,exempt,,
8090,幼稚園保育料（私立）,exempt,,
8077,専修学校授業料（私立）,exempt,,
8110,教科書,exempt,,
9928,傷害保険料,exempt,,Miscellaneous
9921,保育所保育料,exempt,,
9914,介護料,exempt,,
9901,行政証明書手数料,exempt,,
9912,パスポート取得料,exempt,,
9305,外国パック旅行費,exempt,,Mostly overseas services
8001,ＰＴＡ会費（小学校）,exempt,,No consideration
8002,ＰＴＡ会費（中学校）,exempt,,
3500,電気代,transitional,type1,"Transitional: old rate in Oct, new from Nov"
3600,都市ガス代,transitional,type1,
3612,プロパンガス,transitional,type1,
3810,水道料,transitional,type1,
4610,下水道料,transitional,type1,
7410,通信料（固定電話）,transitional,type2,2019-10: 2/3 new rate by weight
7430,通信料（携帯電話）,transitional,type2_mobile,4/5 new + 1/5 old by weight
2182,学校給食（小学校）,reduced,,Reduced rate (food)
2183,学校給食（中学校）,reduced,,Reduced rate (food)
2163,ドーナツ（外食）,reduced,,Reduced rate (takeout)
2164,フライドチキン（外食）,reduced,,Reduced rate
2144,ピザパイ（配達）,reduced,,Reduced rate
6090,健康保持用摂取品Ａ,reduced,,Reduced rate (healthcare)
6094,健康保持用摂取品Ｂ,reduced,,Reduced rate
9204,新聞代（地方・ブロック紙）,reduced,,Reduced rate (education/entertainment)
9205,新聞代（全国紙）,reduced,,Reduced rate
