year_month,fuel_adj_with_subsidy,fuel_adj_without_subsidy,subsidy_per_kwh,note
2020-01,-2.6,-2.6,0.0,
2020-02,-2.87,-2.87,0.0,
2020-03,-2.76,-2.76,0.0,
2020-04,-2.88,-2.88,0.0,
2020-05,-3.03,-3.03,0.0,
2020-06,-3.19,-3.19,0.0,
2020-07,-3.42,-3.42,0.0,
2020-08,-3.47,-3.47,0.0,
2020-09,-3.29,-3.29,0.0,
2020-10,-2.76,-2.76,0.0,
2020-11,-2.3,-2.3,0.0,
2020-12,-1.97,-1.97,0.0,
2021-01,-1.93,-1.93,0.0,
2021-02,-1.53,-1.53,0.0,
2021-03,-0.89,-0.89,0.0,
2021-04,0.46,0.46,0.0,
2021-05,0.94,0.94,0.0,
2021-06,0.58,0.58,0.0,
2021-07,0.72,0.72,0.0,
2021-08,1.07,1.07,0.0,
2021-09,1.97,1.97,0.0,
2021-10,3.36,3.36,0.0,
2021-11,3.52,3.52,0.0,
2021-12,2.27,2.27,0.0,
2022-01,-0.53,-0.53,0.0,
2022-02,0.74,0.74,0.0,
2022-03,1.83,1.83,0.0,
2022-04,2.27,2.27,0.0,
2022-05,2.74,2.74,0.0,
2022-06,2.97,2.97,0.0,
2022-07,4.15,4.15,0.0,
2022-08,5.1,5.1,0.0,
2022-09,5.13,5.13,0.0,Price cap reached
2022-10,5.13,5.13,0.0,Price cap reached
2022-11,5.13,5.13,0.0,Price cap reached
2022-12,5.13,5.13,0.0,Price cap reached
2023-01,5.13,5.13,0.0,Price cap (subsidy from Feb)
2023-02,-1.87,5.13,7.0,Subsidy started
2023-03,-1.87,5.13,7.0,
2023-04,-1.87,5.13,7.0,
2023-05,-1.87,5.13,7.0,
2023-06,-1.3,5.7,7.0,New tariff (cap removed)
2023-07,-9.95,-2.95,7.0,
2023-08,-11.21,-4.21,7.0,
2023-09,-12.22,-5.22,7.0,
2023-10,-9.23,-5.73,3.5,Phase-down
2023-11,-9.47,-5.97,3.5,
2023-12,-9.67,-6.17,3.5,
2024-01,-9.65,-6.15,3.5,
2024-02,-9.56,-6.06,3.5,
2024-03,-9.28,-5.78,3.5,
2024-04,-9.21,-5.71,3.5,
2024-05,-5.65,-5.65,0.0,Subsidy ended
2024-06,-7.6,-7.6,0.0,
2024-07,-6.09,-6.09,0.0,
2024-08,-6.31,-6.31,0.0,
2024-09,-10.37,-6.37,4.0,Heat wave
2024-10,-10.19,-6.19,4.0,
2024-11,-8.67,-6.17,2.5,Phase-down
2024-12,-6.33,-3.83,2.5,
2025-01,-6.51,-4.01,2.5,
2025-02,-9.0,-6.5,2.5,
2025-03,-8.83,-7.53,1.3,Mar half
2025-04,-7.38,-7.38,0.0,Subsidy ended
2025-05,-6.19,-6.19,0.0,
2025-06,-6.39,-6.39,0.0,
2025-07,-6.88,-6.88,0.0,
2025-08,-9.25,-7.25,2.0,Summer support
2025-09,-9.9,-7.5,2.4,Aug usage increased
2025-10,-9.65,-7.65,2.0,Summer support
2025-11,-7.65,-7.65,0.0,Subsidy ended
2025-12,-7.7,-5.2,2.5,Winter sub (Nov usage)
2026-01,-7.72,-5.22,2.5,
2026-02,-12.22,-9.72,2.5,
2026-03,-12.09,-9.59,2.5,
